Page name,Measured loading time [ms]
CSPRM#18-11-00_n_#RM-DevicesE2,201.9
CSPRM#23-05-00_n_#RM-DetailsTBC,233.57
CSPRM#23-06-00_n_#RM-DetailsPinchRoll,120.07
CSPRM#18-33-00_n_#RM-DevicesTBC,119.19
CSPRM#18-26-00_n_#RM-RMExit-Devices,150.11
CSPRM#08-01-00_w_#RM-Disturbances,126.93
CSPRM#08-10-00_w_#RM-Reports,117.19
CSPM#01-03-00_n_#FM-Overview,127.15
CSPM#08-14-00_w_#FM-PieceSchedule,131.21
CSPM#08-15-00_w_#FM-PieceData,117.4
CSPM#08-16-00_w_#FM-DefaultAlloy,136.36
CSPM#08-17-00_w_#FM-PassSchedule-Current,123.71
CSPM#08-18-00_w_#FM-PassSchedule-Preview,135.14
CSPM#08-19-00_w_#FM-PassSchedule-Fictive,124.67
CSPM#08-20-00_w_#FM-ProfileFlatness,119.25
CSPM#08-21-00_w_#FM-RollGapLubr-Settings,146.35
CSPM#08-12-00_w_#FM-CurrentSlab,140.31
CSPM#08-13-00_w_#FM-PreviousSlab,114.19
CSPM#19-07-00_n_#FM-Sequences,234.08
CSPM#16-14-00_w_#FM-FMEntry,135.73
CSPM#16-03-00_w_#FM-Calibration-F1F2,116.51
CSPM#16-05-00_w_#FM-Calibration-F3F4,196
CSPM#16-07-00_w_#FM-Calibration-F5F6,148.47
CSPM#14-03-00_w_#FM-RollChange-F1F2,274.22
CSPM#14-04-00_w_#FM-RollChange-F3F4,115.21
CSPM#14-05-00_w_#FM-RollChange-F5F6,119.31
CSPM#08-22-00_w_#FM-RollData,150.46
CSPM#08-23-00_w_#FM-RollStatus,118.98
CSPM#18-13-00_n_#FM-FMEntry-Devices,123.6
CSPM#30-01-00_n_#FM-DetailsShear,125.38
CSPM#52-05-00_w_#FM-DriveShear,264.67
CSPM#20-02-00_n_#FM-Descaler,131.4
CSPM#23-06-00_w_#FM-StandF1,184.97
CSPM#52-06-00_w_#FM-DriveF1,125.62
CSPM#18-14-00_n_#FM-DevicesF1,143.46
CSPM#23-07-00_w_#FM-StandF2,123.06
CSPM#52-07-00_w_#FM-DriveF2,129.36
CSPM#18-15-00_n_#FM-DevicesF2,133.29
CSPM#23-08-00_w_#FM-StandF3,208.18
CSPM#52-08-00_w_#FM-DriveF3,129
CSPM#18-16-00_n_#FM-DevicesF3,116.66
CSPM#23-09-00_w_#FM-StandF4,131.5
CSPM#52-09-00_w_#FM-DriveF4,127.65
CSPM#18-17-00_n_#FM-DevicesF4,148.85
CSPM#23-10-00_w_#FM-StandF5,178.67
CSPM#52-10-00_w_#FM-DriveF5,124.61
CSPM#18-18-00_n_#FM-DevicesF5,115.46
CSPM#23-11-00_w_#FM-StandF6,120.59
CSPM#52-11-00_w_#FM-DriveF6,127.01
CSPM#18-24-00_n_#FM-DevicesF6,121.67
CSPM#18-19-00_n_#FM-FMExit-Devices,118.75
CSPM#08-11-00_w_#FM-Disturbances,192.34
CSPM#08-10-00_w_#FM-Reports,129
CSPM#65-01-00_n_#DC-Overview,463.39
CSPM#65-02-00_w_#DC-Production-Setup,172.44
CSPM#18-28-00_n_#DC-LC-Devices,124.31
CSPM#18-29-00_n_#DC-LCEdgeMasking-Devices,238.55
CSPM#18-25-00_n_#DC-LCTop-Devices,228.29
CSPM#18-26-00_n_#DC-LCBottom-Devices,180.33
CSPM#01-04-00_n_#DC-Overview,155.59
CSPM#19-08-00_n_#DC-Production-Sequences,220.16
CSPM#16-09-00_w_#DC-DC1,193.38
CSPM#16-10-00_w_#DC-DC2,499.77
CSPM#54-01-00_n_#DC-GroupJogging,170.64
CSPM#18-27-00_n_#DC-DCEntry-Devices,240.52
CSPM#23-12-00_w_#DC-CoilerDC1,208.62
CSPM#52-12-00_w_#DC-MandrelDC1,146.91
