Page name,Measured loading time [ms]
@sms_w_Alarmlist,822.23
CSPM#06-01-00_n_#SAF-OverviewFloorRM,119.74
CSPM#06-02-00_n_#SAF-OverviewCellarRM,147.99
CSPM#06-03-00_n_#SAF-OverviewFloorFM,398.84
CSPM#06-04-00_n_#SAF-OverviewCellarFM,231.57
CSPM#06-05-00_n_#SAF-OverviewFloorDC,160.86
CSPM#06-06-00_n_#SAF-OverviewCellarDC,151.49
SAF_n_SafetyAreaOverviewRM,507.1
SAF_n_SafetyAreaOverviewFM,220.53
SAF_n_SafetyAreaOverviewDCPage1,394.58
SAF_n_SafetyAreaOverviewDCPage2,304.65
CSPM#02-01-00_n_#GEN-Media,125.76
CSPM#02-02-00_n_#GEN-Drives,467.8
CSPM#02-03-00_n_#GEN-MCC,130.25
CSPTF#67-01-00_w_#MED-BurnerHeatingSection,302.99
CSPTF#67-02-00_w_#MED-BurnerShuttleSection,242.5
CSPTF#67-03-00_w_#MED-BurnerHeatingSection,279.69
CSPRM#61-01-00_w_#MED-HighPressureHydraulic,273.02
CSPRM#62-01-00_w_#MED-LowPressureHydraulic,311.11
CSPRM#68-01-00_w_#MED-HydrostaticSystem,129.67
CSPRM#63-01-00_w_#MED-RollGapLubricationStation,548.7
CSPRM#63-03-00_w_#MED-RollGapLubricationControl,191.19
CSPRM#63-02-00_w_#MED-OilLubricationSystem,540.75
CSPRM#64-01-00_w_#MED-BearingLubricationSystem,324.48
CSPRM#72-01-00_w_#MED-GreaseSystem,230.67
CSPRM#66-01-00_w_#MED-DescalingEntrySystem,358.47
CSPRM#66-02-00_w_#MED-DescalingExitSystem,315.56
CSPRM#65-03-00_w_#MED-CoolingBeforeStands,180.87
CSPRM#65-01-00_w_#MED-StandInterstandCooling,492.86
CSPRM#65-02-00_w_#MED-TransferBarCooling,334.04
CSPRM#60-01-00_w_#MED-Parameters,180.83
CSPFM#61-01-00_w_#MED-HighPressureHydraulic,208.2
CSPFM#62-01-00_w_#MED-LowPressureHydraulic,236.73
CSPFM#68-01-00_w_#MED-HydrostaticSystem,409.91
CSPFM#63-01-00_w_#MED-RollGapLubricationStation,703.11
CSPFM#63-03-00_w_#MED-RollGapLubricationControl,237.9
CSPFM#63-02-00_w_#MED-OilLubricationSystem,217.96
CSPFM#64-01-00_w_#MED-BearingLubricationSystem,493.65
CSPFM#72-01-00_w_#MED-GreaseSystem,146.27
CSPFM#69-01-00_w_#MED-DrumShearPitPump,218.59
CSPFM#66-01-00_w_#MED-DescalingEntrySystem,239.46
CSPFM#66-02-00_w_#MED-DescalingExitSystem,449.69
CSPFM#65-03-00_w_#MED-CoolingBeforeStands,588.2
